crime_code,crime_description
441,"THEFT PLAIN - ATTEMPT"
627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT"
122,"RAPE, ATTEMPTED"
443,"SHOPLIFTING - ATTEMPT"
487,"BOAT - STOLEN"
940,"EXTORTION"
434,"FALSE IMPRISONMENT"
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)"
928,"THREATENING PHONE CALLS/LETTERS"
520,"VEHICLE - ATTEMPT STOLEN"
352,"PICKPOCKET"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
661,"UNAUTHORIZED COMPUTER ACCESS"
660,"COUNTERFEIT"
886,"DISTURBING THE PEACE"
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
450,"THEFT FROM PERSON - ATTEMPT"
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
110,"CRIMINAL HOMICIDE"
933,"PROWLER"
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
813,"CHILD ANNOYING (17YRS & UNDER)"
231,"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER"
812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)"
814,"CHILD PORNOGRAPHY"
932,"PEEPING TOM"
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
622,"BATTERY ON A FIREFIGHTER"
471,"TILL TAP - PETTY ($950 & UNDER)"
235,"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT"
433,"DRIVING WITHOUT OWNER CONSENT (DWOC)"
436,"LYNCHING - ATTEMPTED"
763,"STALKING"
922,"CHILD STEALING"
943,"CRUELTY TO ANIMALS"
822,"HUMAN TRAFFICKING - COMMERCIAL SEX ACTS"
438,"RECKLESS DRIVING"
451,"PURSE SNATCHING - ATTEMPT"
949,"ILLEGAL DUMPING"
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
485,"BIKE - ATTEMPTED STOLEN"
652,"DOCUMENT WORTHLESS ($200 & UNDER)"
439,"FALSE POLICE REPORT"
651,"DOCUMENT WORTHLESS ($200.01 & OVER)"
944,"CONSPIRACY"
954,"CONTRIBUTING"
345,"DISHONEST EMPLOYEE - GRAND THEFT"
921,"HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE"
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
435,"LYNCHING"
805,"PIMPING"
756,"WEAPONS POSSESSION/BOMBING"
880,"DISRUPT SCHOOL"
475,"THEFT, COIN MACHINE - ATTEMPT"
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
806,"PANDERING"
444,"DISHONEST EMPLOYEE - PETTY THEFT"
347,"GRAND THEFT / INSURANCE FRAUD"
349,"GRAND THEFT / AUTO REPAIR"
942,"BRIBERY"
924,"TELEPHONE PROPERTY - DAMAGE"
870,"CHILD ABANDONMENT"
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
446,"PETTY THEFT - AUTO REPAIR"
884,"FAILURE TO DISPERSE"
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
470,"TILL TAP - GRAND THEFT ($950.01 & OVER)"
865,"DRUGS, TO A MINOR"
882,"INCITING A RIOT"
452,"PICKPOCKET, ATTEMPT"
904,"FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)"
353,"DRUNK ROLL"
113,"MANSLAUGHTER, NEGLIGENT"
830,"INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)"
432,"BLOCKING DOOR INDUCTION CENTER"
491,"BOAT - ATTEMPTED STOLEN"
445,"DISHONEST EMPLOYEE ATTEMPTED THEFT"
948,"BIGAMY"
